Project Name,URL,Status,DFI,Search Term,Reviewed
ASEM & PHRD GRANTS CN - ASSET MANAGEMENT & DEBT RESOLUTION PROGRAM,http://projects.worldbank.org/P065849/asem-phrd-grants-cn-asset-management-debt-resolution-program?lang=en,,World Bank,Bank of China,
ASEM II Grant for Developing Govt Securities Market,http://projects.worldbank.org/P073853/asem-ii-grant-developing-govt-securities-market?lang=en,,World Bank,Bank of China,
Accounting Reform & Development Project,http://projects.worldbank.org/P051856/accounting-reform-development-project?lang=en,,World Bank,Bank of China,
Agricultural Education Project (01) and Research Project (01),http://projects.worldbank.org/P003414/agricultural-education-project-01-research-project-01?lang=en,,World Bank,"China Construction Bank, Bank of China",
Agricultural Education Project (02),http://projects.worldbank.org/P003422/agricultural-education-project-02?lang=en,,World Bank,Bank of China,
Anhui Highway Rehabilitation and Improvement Project,http://projects.worldbank.org/P099112/anhui-highway-rehabilitation-improvement-project?lang=en,,World Bank,Bank of China,
Aquaculture Project,http://projects.worldbank.org/P003440/aquaculture-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
BICBanco II,https://disclosures.ifc.org/#/projectDetail/SPI/25114,,IFC,China Construction Bank,
BICBanco SME FDIC,https://disclosures.ifc.org/#/projectDetail/SPI/28449,,IFC,China Construction Bank,
Beilungang Thermal Power Project,http://projects.worldbank.org/P003457/beilungang-thermal-power-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Bic Banco H&E,https://disclosures.ifc.org/#/projectDetail/SPI/28626,,IFC,China Construction Bank,
Bic Mobilization,https://disclosures.ifc.org/#/projectDetail/SPI/29920,,IFC,China Construction Bank,
Building Capital Flow Vulnerability Analysis and Early Warning System,http://projects.worldbank.org/P087024/building-capital-flow-vulnerability-analysis-early-warning-system?lang=en,,World Bank,Bank of China,
Bus Devt Bank,https://disclosures.ifc.org/#/projectDetail/SPI/26101,,IFC,Bank of China,
CH GEF Municipal Solid Waste Management Project,http://projects.worldbank.org/P126832/ch-gef-municipal-solid-waste-management-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
CH-Second Gansu Cultural and Natural Heritage Protection and Development Project,http://projects.worldbank.org/P149528?lang=en,,World Bank,"China Construction Bank, Bank of China",
CHUEE II,https://disclosures.ifc.org/#/projectDetail/SPI/26486,,IFC,Bank of China,
CHUEE SME SPDB,https://disclosures.ifc.org/#/projectDetail/SPI/30815,,IFC,Bank of China,
CN-CF-Meishan CDQ Project,http://projects.worldbank.org/P104601/cn-cf-meishan-cdq-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
CN-GEF Guangdong PRD Urban Env,http://projects.worldbank.org/P084003/cn-gef-guangdong-prd-urban-env?lang=en,,World Bank,Bank of China,
CN-Hubei Xiaogan Logistics Infrastructure,http://projects.worldbank.org/P132562?lang=en,,World Bank,"China Construction Bank, Bank of China",
CN-Ningbo Water and Environment Project,http://projects.worldbank.org/P086505/cn-ningbo-water-environment-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
CN-Second Guangdong Pearl River Delta Urban Environment Project,http://projects.worldbank.org/P081776/cn-second-guangdong-pearl-river-delta-urban-environment-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Changzhi Sustainable Urban Transport Project,http://projects.worldbank.org/P124978/changzhi-sustainable-urban-transport-project?lang=en,,World Bank,Bank of China,
China Bengbu Integrated Environment Improvement Project,http://projects.worldbank.org/P096925/china-bengbu-integrated-environment-improvement-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
China Container Transport Project,http://projects.worldbank.org/P003653/china-container-transport-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
China Development Corporation Project,http://projects.worldbank.org/P003657/china-development-corporation-project?lang=en,,World Bank,Bank of China,
China Development Corporation Project,http://projects.worldbank.org/P003661/china-development-corporation-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
China Development Corporation Project (03),http://projects.worldbank.org/P003665/china-development-corporation-project-03?lang=en,,World Bank,"China Construction Bank, Bank of China",
China Development Corporation Project (04),http://projects.worldbank.org/P003669/china-development-corporation-project-04?lang=en,,World Bank,Bank of China,
China Economic Reform Implementation Project,http://projects.worldbank.org/P085124/china-economic-reform-implementation-project?lang=en,,World Bank,Bank of China,
China Energy Efficiency Financing,http://projects.worldbank.org/P084874/china-energy-efficiency-financing?lang=en,,World Bank,Bank of China,
China Energy Efficiency Financing,http://projects.worldbank.org/P098916/china-energy-efficiency-financing?lang=en,,World Bank,Bank of China,
China Energy Efficiency Financing II,http://projects.worldbank.org/P113766/china-energy-efficiency-financing-ii?lang=en,,World Bank,Bank of China,
China Energy Efficiency Financing III,http://projects.worldbank.org/P123239/china-energy-efficiency-financing-iii?lang=en,,World Bank,Bank of China,
China Energy Efficiency Promotion in Industry,http://projects.worldbank.org/P119357/china-energy-efficiency-promotion-industry?lang=en,,World Bank,Bank of China,
China FSTA Supplemental Loan,http://projects.worldbank.org/P070947/china-fsta-supplemental-loan?lang=en,,World Bank,Bank of China,
China Glass,https://disclosures.ifc.org/#/projectDetail/SPI/25665,,IFC,Bank of China,
China Microfinance Development II,https://disclosures.ifc.org/#/projectDetail/AS/592067,,IFC,Bank of China,
China Mobile Banking,https://disclosures.ifc.org/#/projectDetail/AS/586187,,IFC,Bank of China,
China Partnership for Market Readiness,http://projects.worldbank.org/P128712/china-partnership-market-readiness?lang=en,,World Bank,Bank of China,
China Rural Collateral Reform,https://disclosures.ifc.org/#/projectDetail/AS/598367,,IFC,Bank of China,
China Tuoketuo Thermal Power Project,http://projects.worldbank.org/P003650/china-tuoketuo-thermal-power-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
China Wuhan Second Urban Transport,http://projects.worldbank.org/P112838/china-wuhan-second-urban-transport?lang=en,,World Bank,"China Construction Bank, Bank of China",
China-ASEAN Fund on Investment Cooperation,https://disclosures.ifc.org/#/projectDetail/SPI/28790,,IFC,Bank of China,
