,Project Name,reviewed,search_term,url
0,PSBC Equity,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SII/35461
1,Millicom Tchad SA,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SII/34297
2,Millicom Tchad SA,,Bank of China,https://disclosures.ifc.org/#/projectDetail/ESRS/34297
3,China Microfinance Development II,,Bank of China,https://disclosures.ifc.org/#/projectDetail/AS/592067
4,Penonome Wind,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SII/34810
5,Fenglin II,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SII/35042
6,China Mobile Banking,,Bank of China,https://disclosures.ifc.org/#/projectDetail/AS/586187
7,RMS Credit Reporting Development in China,,Bank of China,https://disclosures.ifc.org/#/projectDetail/AS/588467
8,China Rural Collateral Reform,,Bank of China,https://disclosures.ifc.org/#/projectDetail/AS/598367
9,F-Road,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SII/31937
10,CHUEE SME SPDB,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SPI/30815
11,Shenzhen VTB,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SPI/29386
12,China-ASEAN Fund on Investment Cooperation,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SPI/28790
13,CHUEE II,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SPI/26486
14,INCaF Xinglong Hydro,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SPI/556906
15,Bus Devt Bank,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SPI/26101
16,China Glass,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SPI/25665
17,Huarong Asset Management Corporation,,Bank of China,https://disclosures.ifc.org/#/projectDetail/SPI/11063
18,F-Road,,China Construction Bank,https://disclosures.ifc.org/#/projectDetail/SII/31937
19,Bic Mobilization,,China Construction Bank,https://disclosures.ifc.org/#/projectDetail/SPI/29920
20,Shenzhen VTB,,China Construction Bank,https://disclosures.ifc.org/#/projectDetail/SPI/29386
21,BICBanco SME FDIC,,China Construction Bank,https://disclosures.ifc.org/#/projectDetail/SPI/28449
22,Bic Banco H&E,,China Construction Bank,https://disclosures.ifc.org/#/projectDetail/SPI/28626
23,BICBanco II,,China Construction Bank,https://disclosures.ifc.org/#/projectDetail/SPI/25114
